Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee
0xf481bdb9e5c709e8b25fe9e1f26837ec9c0f952a1ebb52ac8605a88e8d75f53f,Success,Tx,Buy Tokens Eth,17246822,360 days ago,0xa2D282CEA9D16FA3EDdf494b0201d2D7dD72A8aa, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.096,$298.88,Ethereum(ETH),0.00603764
0x65daa6754d352e2bd9fec7e7aedf1cd2e5f8eaaeb9fba181939e5f6c5638881a,Success,Tx,Buy Tokens Eth,17246815,360 days ago,0x6418B4efEf49e247b11Fffa8a31b2346592165B8, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.2,$622.67,Ethereum(ETH),0.00612489
0x3be0b42add9908ddfb2745b9822471823784e6071bc8243c9758253dd9ce606b,Success,Tx,Buy Tokens Eth,17246775,360 days ago,0xE60207E979FE28997ccE58b25de627251bDb5397, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.050403,$156.92,Ethereum(ETH),0.00515926
0x2aba81dfe94de021ef41768b89ba3ef546d8c7c94ddef84a018b56458e8fa6db,Success,Tx,Buy Tokens Eth,17246768,360 days ago,0xb2D44BE97DFaf4977d0d575c351CE2aCB528a67f, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.1113,$346.52,Ethereum(ETH),0.00555446
0xd48c6b11205bb51d182bbdd76dd9a7e5055923a72417d2cec51edb4eead1fe4c,Success,Tx,Buy Tokens Eth,17246767,360 days ago,0x09d70966DC5Ef6036E332f3FE6C980ac18CA3Bb0, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.008,$24.91,Ethereum(ETH),0.00369962
0xc3b2db87d1d65f21f309fd2a9c1285a69882034c1cef5365b9e8831a358e58d6,Success,Tx,Buy Tokens Eth,17246747,360 days ago,0x09d70966DC5Ef6036E332f3FE6C980ac18CA3Bb0, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.0222,$69.12,Ethereum(ETH),0.00579792
0x6a551ade5812776dd6c2fbba625c22630ac0870c23bf139eed7a9a516c39d021,Success,Tx,Buy Tokens Eth,17246725,360 days ago,0x929306cEa1EE52caB4898cf6D46c458073AB8Bb6, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.116161,$361.65,Ethereum(ETH),0.00562552
0x798c114e97909763f50a59ad714516ac09de122e1727362ae442bd42af1de56f,Success,Tx,Buy Tokens Eth,17246723,360 days ago,0xe2BdE2E16E4859331AB967539D2e0c6C86709Af5, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.014,$43.59,Ethereum(ETH),0.00584777
0xf508388902578215c557351849218bdf7d4ff87dda3622e026b78bbf2dc1c0e7,Success,Tx,Buy Tokens Eth,17246720,360 days ago,0xfE0405d075af4F35feD14699ed8E1abc60f690D6, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.032351,$100.72,Ethereum(ETH),0.00599837
0xf4b1153413a91afa66debe66ed0e2e62a382200a3bf4032477c35e8b14dfeba0,Success,Tx,Buy Tokens Eth,17246719,360 days ago,0x93Eea48a39bF7aFD41C48D9a78556075deC85f02, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.002,$6.23,Ethereum(ETH),0.0080593
