Wallet, Amount
0x985084e677808b7258e58d2dc23D50c8c77A66E6, 1239881000000000
0x627c1739BE2d33Ed60FCD0767Eff999D20932132, 1284494000000000
0x99DA3E9C7591772E1eB8f933fC22585a69c0e850, 3106422000000000
0xA018A6cFCF84e9799a951203b9e5Ba3fF1e7c115, 1700000000000
0x4E8136f58A418f728e3d17BfA438e55E17990C28, 540209000000000
0xB66189ebF30021aab5E49859203655a1ed586754, 18568892000000000
0x614B1058bEe657A2467d7D81f1C1840A8A9a9dbA, 1126419000000000
0xe644392cb42ffd29cA392A275f102b9A81f98D33, 86561000000000
0x14CA02D430bae574FaDECaA3D25DdCBbB1046d6F, 563646000000000
0xF65Ab4D007329FD56252224B93770793e85b7F83, 37704000000000
0xbd5C4D8542c045BE72d2B8BA204714185f91C911, 84986000000000
0x9f0FFC6291c899dCBb70383163f6CD56E57FbD00, 200065000000000
0x2780e67fC14710B6A3918C47eD88a5fcc9f10C8e, 1772083000000000
0xd39151020dd7e9224Bfa96C25D32B2D7E2c82dA3, 15910000000000
0x1Bc38d16eAC478F01FafeDabe5FF0daCD4594FC3, 2346957000000000
0x2F7a6e60b2091823b391AE2bFD059299e268dA7e, 27736000000000
0x058eBb69B47f2d3b3061a0d273270269bD5f0138, 530506000000000
0x7aE6D96A9661016111dA3E870809d5E6DC80f780, 143688000000000
0x838aA95AF4a7353c1A94e8EA4836D02B69EBe9E1, 20330000000000
0x85A1BD433f1B9f304613Cea5F1F0416a10d29160, 143477000000000
0x953e6D5b029682b193173146f3e123672Ce22BAe, 50810000000000
0x330b829F909b01778D4d534b1bE03503ee4aA793, 973881000000000
0x748793B9daa83ad606e1592eD04EAEb90C1ada41, 1028725000000000
0x239a01D842D84E15CBDa18612948AD3f7FE580A2, 4757271000000000
0xdb82B7B3F218bdAb706d9DaeC2a89621e3b4b021, 295545000000000
0xb4C53D24033fd3BbCb889D59987462E5C72B97Db, 17271493000000000
0xc8Af3b91043993E94Cc82e7472cc6AB526199053, 125663000000000
0xF86BF9B5c21A8c5DD8076D3661C74b7c62fbC885, 638706000000000
0xb1Cb46025a3a65E032a0F5E56348672Fb8849aeF, 213613000000000
0xc4c86EC330D1aB3606600736Ee152034c3F27D49, 1626521000000000
0xfafbDC93F33fEBA5B1F3BdE96E1BC379792DB137, 2198283000000000
0x64dEB1b17ce9D6B318Cb3a6aB9AeF1c601d94f22, 41688000000000
0xD1F0B50cd9E86FBEc5e68d62508d66ddEa8B3E3b, 3010445000000000
